Food_Category,Temperature_C,Humidity_%,Storage_Days,Packaging,Moisture_%,pH,Refrigerated,Transport_Hours,Risk
Dairy,11.7,54,52,Damaged,48.6,5.9,No,15,Reject
Vegetables,8.1,64,1,Good,47.1,4.3,Yes,4,Safe
Meat,1.1,88,49,Average,66.7,6.3,Yes,19,Caution
Meat,0.5,52,13,Good,65.2,6.3,Yes,23,Safe
Meat,2.1,68,60,Average,15.3,4.7,No,1,Caution
Dairy,24.3,57,31,Damaged,41,4.4,Yes,3,Reject
Meat,4.3,83,41,Average,69.9,4.6,Yes,22,Caution
Meat,23,66,46,Good,85.2,3.5,Yes,22,Caution
Vegetables,13.8,41,4,Good,31.6,5.1,No,7,Caution
Grains,34.6,54,47,Damaged,43.9,5.3,No,11,Reject
Grains,31.1,64,3,Good,63.1,4.1,No,20,Caution
Meat,28.9,44,26,Good,33.6,5.6,Yes,18,Caution
Vegetables,21.4,63,22,Good,53.5,6.4,Yes,21,Caution
Dairy,4.5,73,37,Damaged,62,3.7,No,21,Reject
Fruits,8.3,89,27,Average,45.2,3.7,Yes,14,Reject
Vegetables,25.6,76,34,Good,9.5,4.1,Yes,18,Caution
Fruits,18.6,67,60,Average,61.1,5.4,Yes,18,Reject
Fruits,20.2,63,40,Good,54.5,6.7,No,24,Reject
Meat,14.7,44,24,Good,56.6,5.1,Yes,8,Caution
Grains,15.8,77,25,Average,80.8,4.8,No,2,Caution
Fruits,3.5,51,34,Good,86.8,4.7,No,13,Caution
Grains,15.3,47,33,Good,64.2,4,No,6,Caution
Fruits,33.8,90,48,Good,31.8,6.1,Yes,8,Caution
Dairy,11,94,54,Damaged,85.7,3.8,No,9,Reject
Fruits,11.6,87,23,Average,9.1,5.2,Yes,2,Caution
Vegetables,1.2,84,38,Good,26.5,6.3,Yes,5,Safe
Fruits,28.4,80,50,Average,12.3,6.1,No,10,Reject
Meat,26.4,40,45,Damaged,87.6,3.7,Yes,13,Reject
Vegetables,9.5,48,3,Good,57.5,4.4,Yes,22,Safe
Dairy,12.3,95,7,Good,79.2,5.8,Yes,19,Caution
Dairy,7.2,77,57,Good,47.5,4.2,No,11,Caution
Meat,11.2,78,56,Good,13.8,6.9,No,14,Reject
Dairy,11.3,59,2,Damaged,43.3,5.2,Yes,22,Caution
Grains,0.6,91,52,Average,76.3,6.2,No,17,Caution
Vegetables,20.6,52,42,Average,20.3,4.5,Yes,19,Reject
Vegetables,17.6,56,28,Average,89,5.1,No,21,Reject
Vegetables,33.8,79,37,Good,36.4,6,Yes,11,Caution
Dairy,5.4,46,31,Average,37.1,5.3,No,15,Reject
Dairy,8.9,54,13,Good,60.8,6.7,No,2,Caution
Dairy,32.4,78,19,Good,23.4,6.2,No,15,Reject
Grains,18.8,72,21,Average,83.5,5,No,5,Caution
Dairy,26.2,59,58,Average,59.2,4.6,No,21,Reject
Fruits,10.2,64,3,Good,82.2,6.8,Yes,3,Safe
Dairy,19.9,63,60,Average,87.4,6.1,Yes,11,Reject
Meat,4,93,44,Good,13.9,4.1,Yes,16,Caution
Dairy,34.4,68,38,Damaged,58.2,5.3,Yes,5,Reject
Grains,27.9,90,10,Average,8.6,3.7,No,16,Reject
Fruits,8,55,32,Damaged,66,3.4,Yes,2,Caution
Vegetables,33.5,57,6,Damaged,71.2,5.1,No,20,Reject
Fruits,31.9,58,59,Average,87.4,5.4,Yes,17,Reject
Vegetables,0.2,92,17,Good,61,5.2,Yes,12,Caution
Meat,0,58,22,Good,82.1,3.6,Yes,4,Safe
Vegetables,27.5,81,9,Good,16.1,6.1,Yes,22,Caution
Vegetables,4.1,78,57,Damaged,76.2,6.2,Yes,17,Caution
Meat,5.5,77,21,Good,33.3,3.6,Yes,8,Safe
Dairy,3,48,18,Average,9.6,5.5,Yes,11,Caution
Fruits,4.2,61,40,Average,27.8,4.1,Yes,20,Caution
Meat,1.6,88,20,Good,27.2,6.4,No,3,Caution
Meat,9.8,62,13,Good,79.4,6,No,4,Caution
Dairy,19.5,52,4,Good,17.4,3.9,Yes,4,Safe
Fruits,18.6,89,51,Good,25,6.2,No,19,Reject
Vegetables,17.2,43,17,Average,63.7,4.9,Yes,21,Reject
Grains,21.7,93,36,Good,51,4.6,No,11,Reject
Grains,2.4,50,29,Damaged,88,6.7,No,6,Caution
Grains,16.3,87,60,Good,37.5,3.8,No,5,Caution
Dairy,23.8,72,42,Damaged,49.1,4.8,No,24,Reject
Vegetables,14.4,72,55,Damaged,21,4.1,Yes,21,Reject
Grains,7.1,56,4,Good,82.7,7,No,4,Safe
Vegetables,4.4,66,42,Damaged,82.2,5.3,Yes,14,Caution
Grains,30,56,33,Good,77.2,6.6,No,23,Caution
Dairy,12.6,69,30,Good,17.3,5.8,Yes,1,Caution
Meat,11.9,92,34,Good,78.4,6.6,Yes,13,Caution
Meat,2.5,88,9,Good,43,4.1,Yes,19,Caution
Grains,5.4,91,15,Good,26.1,5.6,No,17,Caution
Dairy,11.2,48,44,Good,69.6,7.1,No,20,Reject
Fruits,18.8,72,52,Good,16.3,6.9,Yes,3,Caution
Vegetables,9,72,46,Good,89.9,3.8,Yes,18,Caution
Grains,2.6,53,26,Good,9.3,6.4,No,3,Safe
